index,label
0,1
1,2
2,0
3,0
4,1
5,2
6,2
7,1
8,1
9,0
10,0
11,2
12,2
13,0
14,1
15,2
16,0
17,1
18,3
19,3
20,0
21,1
22,2
23,0
24,1
25,2
26,1
27,1
28,3
29,0
30,1
31,2
32,0
33,2
34,0
35,2
36,1
37,1
38,1
39,1
40,0
41,2
42,3
43,1
44,2
45,1
46,0
47,3
48,2
49,2
50,1
51,0
52,0
53,0
54,0
55,1
56,2
57,2
58,3
59,0
60,2
61,2
62,0
63,1
64,3
65,2
66,0
67,2
68,1
69,1
70,3
71,2
72,0
73,1
74,3
75,1
76,1
77,1
78,3
79,1
80,2
81,3
82,2
83,0
84,2
85,2
86,0
87,1
88,0
89,1
90,0
91,2
92,2
93,3
94,2
95,0
96,1
97,1
98,1
99,2
100,0
101,2
102,0
103,1
104,1
105,1
106,0
107,2
108,2
109,3
110,2
111,0
112,1
113,0
114,2
115,0
116,0
117,1
118,3
119,2
120,3
121,0
122,0
123,2
124,2
125,1
126,2
127,0
128,1
129,1
130,2
131,1
132,1
133,0
134,2
135,2
136,0
137,0
138,2
139,0
140,1
141,2
142,2
143,0
144,2
145,0
146,1
147,0
148,1
149,2
150,1
151,0
152,2
153,0
154,3
155,0
156,1
157,2
158,1
159,0
160,2
161,1
162,0
163,0
164,1
165,2
166,1
167,1
168,1
169,0
170,2
171,3
172,2
173,2
174,2
175,0
176,0
177,0
178,2
179,1
180,2
181,0
182,0
183,3
184,3
185,0
186,2
187,1
188,1
189,1
190,0
191,1
192,0
193,2
194,1
195,0
196,3
197,2
198,2
199,2
200,2
201,1
202,0
203,2
204,2
205,2
206,2
207,1
208,1
209,1
210,2
211,2
212,1
213,2
214,1
215,1
216,2
217,2
218,2
219,0
220,3
221,1
222,0
223,0
224,2
225,2
226,0
227,0
228,0
229,0
230,2
231,1
232,1
233,1
234,0
235,1
236,1
237,0
238,1
239,1
240,0
241,0
242,0
243,3
244,0
245,2
246,2
247,2
248,2
249,0
250,0
251,0
252,1
253,1
254,2
255,3
256,0
257,2
258,1
259,0
260,1
261,2
262,0
263,1
264,2
265,1
266,2
267,3
268,0
269,3
270,0
271,0
272,0
273,2
274,0
275,0
276,0
277,1
278,2
279,2
280,1
281,1
282,3
283,3
284,1
285,2
286,0
287,2
288,1
289,1
290,2
291,3
292,3
293,1
294,1
295,1
296,1
297,1
298,0
299,1
300,0
301,1
302,0
303,2
304,2
305,2
306,0
307,2
308,1
309,1
310,0
311,1
312,1
313,0
314,3
315,1
316,3
317,1
318,3
319,0
320,2
321,2
322,2
323,2
324,3
325,2
326,2
327,0
328,1
329,1
330,1
331,0
332,1
333,1
334,2
335,0
336,3
337,3
338,1
339,0
340,3
341,2
342,2
343,1
344,1
345,1
346,0
347,2
348,2
349,2
350,0
351,1
352,3
353,0
354,2
355,1
356,1
357,0
358,1
359,0
360,0
361,1
362,2
363,0
364,2
365,2
366,0
367,0
368,0
369,1
370,1
371,3
372,0
373,0
374,0
375,0
376,0
377,0
378,1
379,1
380,3
381,2
382,0
383,0
384,2
385,0
386,1
387,1
388,0
389,1
390,0
391,0
392,0
393,1
394,1
395,0
396,2
397,0
398,1
399,2
400,2
401,0
402,2
403,1
404,0
405,3
406,0
407,0
408,3
409,1
410,0
411,2
412,0
413,1
414,1
415,2
416,2
417,1
418,0
419,1
420,1
421,0
422,2
423,2
424,2
425,2
426,0
427,1
428,2
429,2
430,2
431,2
432,3
433,0
434,0
435,1
436,2
437,1
438,0
439,0
440,0
441,1
442,0
443,1
444,0
445,2
446,1
447,0
448,3
449,0
450,2
451,1
452,2
453,0
454,0
455,1
456,2
457,0
458,2
459,3
460,2
461,1
462,3
463,2
464,1
465,1
466,0
467,2
468,1
469,3
470,1
471,3
472,1
473,0
474,0
475,1
476,1
477,2
478,0
479,0
480,1
481,1
482,0
483,1
484,0
485,1
486,0
487,1
488,3
489,0
490,1
491,3
492,0
493,2
494,1
495,2
496,2
497,2
498,0
499,2
500,0
501,0
502,1
503,2
504,2
505,2
506,2
507,1
508,0
509,1
510,0
511,2
512,0
513,1
514,2
515,1
516,3
517,0
518,2
519,2
520,2
521,1
522,2
523,0
524,0
525,1
526,2
527,1
528,0
529,0
530,1
531,2
532,3
533,2
534,2
535,1
536,1
537,0
538,0
539,2
540,3
541,0
542,2
543,2
544,2
545,2
546,1
547,2
548,2
549,2
550,1
551,0
552,2
553,2
554,3
555,0
556,0
557,2
558,0
559,0
560,2
561,0
562,1
563,0
564,2
565,0
566,2
567,2
568,0
569,2
570,1
571,3
572,0
573,0
574,0
575,2
576,1
577,3
578,2
579,0
580,0
581,2
582,1
583,1
584,1
585,1
586,0
587,0
588,2
589,2
590,2
591,2
592,2
593,1
594,1
595,2
596,2
597,0
598,2
599,2
600,2
601,2
602,1
603,1
604,0
605,2
606,0
607,0
608,0
609,0
610,3
611,2
612,2
613,1
614,1
615,0
616,0
617,1
618,2
619,0
620,2
621,3
622,2
623,2
624,0
625,0
626,1
627,0
628,2
629,1
630,2
631,1
632,3
633,1
634,0
635,0
636,1
637,2
638,1
639,1
640,1
641,1
642,1
643,3
644,0
645,0
646,0
647,1
648,2
649,0
650,0
651,2
652,2
653,1
654,2
655,0
656,0
657,2
658,0
659,0
660,1
661,1
662,3
663,1
664,2
665,0
666,0
667,1
668,0
669,1
670,2
671,1
672,2
673,0
674,2
675,2
676,0
677,0
678,2
679,2
680,1
681,1
682,2
683,3
684,0
685,0
686,3
687,2
688,3
689,1
690,0
691,0
692,1
693,1
694,0
695,0
696,2
697,1
698,1
699,0
700,2
701,2
702,0
703,0
704,1
705,0
706,0
707,0
708,2
709,2
710,1
711,1
712,3
713,1
714,0
715,0
716,0
717,0
718,1
719,3
720,2
721,0
722,2
723,2
724,0
725,1
726,2
727,3
728,3
729,0
730,0
731,1
732,0
733,1
734,2
735,0
736,2
737,0
738,3
739,0
740,1
741,1
742,3
743,3
744,0
745,0
746,1
747,0
748,2
749,0
750,2
751,0
752,3
753,1
754,0
755,0
756,2
757,2
758,2
759,1
760,3
761,0
762,2
763,2
764,2
765,0
766,0
767,1
768,1
769,1
770,0
771,0
772,0
773,2
774,3
775,0
776,2
777,3
778,2
779,2
780,0
781,1
782,2
783,2
784,2
785,0
786,1
787,2
788,0
789,0
790,1
791,0
792,3
793,2
794,1
795,2
796,0
797,1
798,1
799,0
800,0
801,3
802,0
803,2
804,2
805,2
806,0
807,1
808,0
809,1
810,1
811,0
812,2
813,0
814,2
815,2
816,1
817,1
818,2
819,1
820,2
821,2
822,2
823,0
824,2
825,2
826,2
827,0
828,2
829,2
830,1
831,3
832,1
833,2
834,1
835,0
836,2
837,2
838,0
839,0
840,1
841,2
842,0
843,0
844,2
845,2
846,2
847,2
848,1
849,1
850,1
851,1
852,0
853,2
854,0
855,2
856,2
857,2
858,3
859,0
860,2
861,1
862,0
863,0
864,0
865,0
866,3
867,1
868,1
869,0
870,1
871,0
872,2
873,0
874,3
875,0
876,0
877,2
878,0
879,2
880,1
881,0
882,2
883,2
884,1
885,1
886,0
887,1
888,0
889,2
890,2
891,2
892,0
893,2
894,1
895,1
896,2
897,2
898,2
899,3
900,1
901,2
902,3
903,0
904,1
905,1
906,0
907,2
908,1
909,2
910,0
911,1
912,2
913,2
914,2
915,1
916,2
917,0
918,2
919,3
920,1
921,2
922,2
923,2
924,3
925,3
926,0
927,1
928,0
929,0
930,2
931,2
932,3
933,2
934,1
935,0
936,1
937,2
938,1
939,2
940,0
941,0
942,1
943,3
944,0
945,3
946,1
947,1
948,2
949,0
950,2
951,3
952,0
953,0
954,1
955,0
956,2
957,0
958,3
959,2
960,1
961,3
962,0
963,0
