性別,年齡,BMI,拳擊,器材,有氧,舞蹈,高強度間歇,瑜伽,肌力訓練,燃脂,減脂瘦身,增加肌肉,增強體魄,舒緩壓力,推薦類型
1.0,957.0,0.0,1.0,1.0,0.0,-2.0,0.0,1.0,1.0,1.0,0.0,-3.0,0.0,-3.0,肌力
0.0,987.0,19.8791026005112,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,error
1.0,49.0,20.878374567635493,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,error
1.0,45.0,-28.54392716363107,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,肌耐力
1.0,3245.0,0.0,-3.0,-3.0,-4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,error
1.0,47.0,22.52137198871181,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,肌力
0.0,1134.0,0.0,0.0,1.0,1.0,0.0,1.0,-4.0,0.0,1.0,0.0,1.0,1.0,-4.0,心肺
1.0,3231.0,20.165121608328754,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,肌耐力
0.0,1093.0,24.07690839580017,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,肌力
1.0,46.0,-20.958439304779976,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,柔軟度
1.0,46.0,23.161082769163517,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,肌力
0.0,1644.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-2.0,1.0,0.0,0.0,1.0,1.0,柔軟度
1.0,43.0,22.053277028076142,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,柔軟度
1.0,45.0,-17.186578523706604,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,柔軟度
1.0,23.0,-19.423269565476875,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0000
1.0,47.0,-24.895807778758364,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,柔軟度
1.0,45.0,-26.47267803739072,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,柔軟度
1.0,27.0,-22.662793161800703,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0000
1.0,29.0,-9.716121083420301,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,error
1.0,38.0,-23.763632837762426,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,錯誤
0.0,54.0,-20.88858098404888,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,柔軟度
0.0,42.0,-23.332067962929848,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,肌耐力
0.0,3764.0,0.0,-2.0,0.0,0.0,1.0,-5.0,-3.0,0.0,0.0,-4.0,0.0,0.0,1.0,柔軟度
1.0,47.0,-23.831904256794893,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0000
1.0,2484.0,0.0,0.0,1.0,-3.0,0.0,1.0,1.0,-5.0,1.0,-3.0,1.0,1.0,1.0,肌耐力
1.0,48.0,-22.631591813263398,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,錯誤
0.0,32.0,24.460387588092257,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0000
0.0,42.0,-31.714517845186624,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,肌力
0.0,45.0,-25.33379787510449,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,error
0.0,674.0,13.313555655390214,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,心肺
1.0,1427.0,0.0,0.0,-3.0,1.0,1.0,-5.0,1.0,1.0,1.0,0.0,-3.0,1.0,1.0,肌耐力
0.0,2127.0,11.237850572540514,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,心肺
0.0,29.0,18.9044224957058,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,error
1.0,38.0,19.31065803202578,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,肌力
0.0,2600.0,22.36898527754112,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,心肺
1.0,23.0,-19.280248649558125,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,柔軟度
1.0,46.0,-27.972961130298142,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,柔軟度
0.0,3011.0,23.78933498007309,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,錯誤
0.0,1296.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,心肺
1.0,3395.0,0.0,1.0,1.0,0.0,0.0,0.0,-4.0,0.0,-3.0,0.0,0.0,1.0,0.0,肌耐力
